"","x"
"177","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500799&lng=en&nrm=iso&tlng=en"
"178","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500806&lng=en&nrm=iso&tlng=en"
"179","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500814&lng=en&nrm=iso&tlng=en"
"180","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500820&lng=en&nrm=iso&tlng=en"
"181","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500834&lng=en&nrm=iso&tlng=en"
"182","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500843&lng=en&nrm=iso&tlng=en"
"183","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500858&lng=en&nrm=iso&tlng=en"
"184","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500870&lng=en&nrm=iso&tlng=en"
"185","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500878&lng=en&nrm=iso&tlng=en"
"186","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500884&lng=en&nrm=iso&tlng=en"
"187","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100001&lng=en&nrm=iso&tlng=en"
"188","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100009&lng=en&nrm=iso&tlng=en"
"189","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100015&lng=en&nrm=iso&tlng=en"
"190","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100026&lng=en&nrm=iso&tlng=en"
"191","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100032&lng=en&nrm=iso&tlng=en"
"192","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100040&lng=en&nrm=iso&tlng=en"
"193","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100048&lng=en&nrm=iso&tlng=en"
"194","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100052&lng=en&nrm=iso&tlng=en"
"195","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100062&lng=en&nrm=iso&tlng=en"
"196","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100068&lng=en&nrm=iso&tlng=en"
"197","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100074&lng=en&nrm=iso&tlng=en"
"198","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572019000100080&lng=en&nrm=iso&tlng=en"
